app_package,queried_package
indwin.c3.shareapp,com.android.vending
com.fsn.nykaa,com.truecaller
com.fsn.nykaa,com.facebook.katana
com.fsn.nykaa,com.dreamplug.androidapp
com.fsn.nykaa,com.dreamplug.androidapp.dev
com.fsn.nykaa,com.android.chrome
com.fsn.nykaa,com.android.chrome
com.fsn.nykaa,com.fsn.nykaa
com.fsn.nykaa,com.fsn.nykaa.man
com.fsn.nykaa,com.fsn.nds
com.fsn.nykaa,com.fsn.nykaa.superstore
com.fsn.nykaa,com.fsn.nykaa.preprod
com.fsn.nykaa,com.fsn.nykaa.man.preprod
com.fsn.nykaa,com.fsn.nds.preprod
com.fsn.nykaa,com.fsn.nykaa.superstore.preprod
com.astrotalk,com.whatsapp
com.astrotalk,com.whatsapp.w4b
com.astrotalk,com.paytm.pgsdk.TransactionManager.PAYTM_APP_PACKAGE
com.astrotalk,com.android.chrome
com.astrotalk,com.facebook.katana
com.astrotalk,com.tatadigital.tcp.dev
com.astrotalk,com.tatadigital.tcp
com.astrotalk,com.otpless.app
com.astrotalk,com.truecaller
com.astrotalk,com.truecaller.debug
com.astrotalk,com.google.android.apps.maps
com.astrotalk,com.instagram.android
com.astrotalk,com.facebook.lite
com.astrotalk,com.samsung.android.mapsagent
com.dream11.fantasy.cricket.football.kabaddi,com.whatsapp
com.dream11.fantasy.cricket.football.kabaddi,org.telegram.messenger
com.dream11.fantasy.cricket.football.kabaddi,com.dream11sportsguru
com.dream11.fantasy.cricket.football.kabaddi,com.facebook.katana
com.dream11.fantasy.cricket.football.kabaddi,com.instagram.android
com.dream11.fantasy.cricket.football.kabaddi,com.google.android.apps.tv.launcherx
com.dream11.fantasy.cricket.football.kabaddi,com.google.android.tvlauncher
com.dream11.fantasy.cricket.football.kabaddi,com.google.android.tvrecommendations
com.dream11.fantasy.cricket.football.kabaddi,com.tatadigital.tcp.dev
com.dream11.fantasy.cricket.football.kabaddi,com.tatadigital.tcp
com.dream11.fantasy.cricket.football.kabaddi,com.twitter.android
com.dream11.fantasy.cricket.football.kabaddi,com.phonepe.app
com.dream11.fantasy.cricket.football.kabaddi,com.phonepe.app.preprod
com.dream11.fantasy.cricket.football.kabaddi,com.phonepe.simulator
com.dream11.fantasy.cricket.football.kabaddi,com.phonepe.simulator.debug
com.axis.mobile,com.tencent.mm
com.axis.mobile,com.whatsapp
com.axis.mobile,us.zoom.videomeetings
com.axis.mobile,com.google.android.gms.policy_cast_dynamite
com.axis.mobile,com.google.android.apps.maps
com.axis.mobile,com.facebook.katana
com.axis.mobile,com.instagram.android
com.axis.mobile,com.facebook.lite
com.axis.mobile,com.samsung.android.mapsagent
com.axis.mobile,com.android.vending
com.mycash.moneytap.app,com.facebook.katana
com.mycash.moneytap.app,com.whatsapp
com.mycash.moneytap.app,com.whatsapp.w4b
com.mycash.moneytap.app,com.otpless.app
com.mycash.moneytap.app,org.telegram.messenger
com.mycash.moneytap.app,jp.naver.line.android
com.mycash.moneytap.app,com.michatapp.im
com.mycash.moneytap.app,com.discord
